filename,category,pages,route,parameters_present,table_types,notes
GB 13954-2009.pdf,lighting,18,text,,,"794KB, sampled 2187 chars"
GB 17896-2022.pdf,lighting,19,ocr,,,"5992KB, sampled 0 chars"
GB 18100-2025.pdf,lighting,47,text,,,"2723KB, sampled 1904 chars"
GB 19044-2022.pdf,lighting,19,ocr,,,"4338KB, sampled 0 chars"
GB 19152-2025.pdf,lighting,55,text,,,"2006KB, sampled 1826 chars"
GB 21554-2008.pdf,lighting,11,text,,,"616KB, sampled 1501 chars"
GB 23826-2025.pdf,lighting,35,text,,,"30077KB, sampled 738 chars"
GB 26755-2011.pdf,lighting,10,text,,,"306KB, sampled 1251 chars"
GB 26783-2011.pdf,lighting,8,text,,,"244KB, sampled 1016 chars"
GB 30255-2019.pdf,lighting,7,ocr,,,"2160KB, sampled 0 chars"
GB 30255-2026.pdf,lighting,11,text,,,"278KB, sampled 920 chars"
GB 30734-2014.pdf,lighting,11,text,,,"319KB, sampled 1279 chars"
GB 31276-2014.pdf,lighting,7,text,,,"279KB, sampled 1447 chars"
GB 37478-2025.pdf,lighting,7,text,,,"199KB, sampled 859 chars"
GB 38450-2019.pdf,lighting,7,ocr,,,"1412KB, sampled 0 chars"
GB 4599-2024.pdf,lighting,59,text,,,"6709KB, sampled 1588 chars"
GB 4785-2019.pdf,lighting,82,text,,,"7008KB, sampled 2629 chars"
GB 7793-2010.pdf,lighting,5,text,,,"319KB, sampled 1695 chars"
GB 7793-2025.pdf,lighting,11,text,,,"259KB, sampled 1299 chars"
GB_17945-2024.pdf,lighting,82,text,,,"3588KB, sampled 1545 chars"
GB_43471-2023.pdf,lighting,14,ocr,,,"2828KB, sampled 0 chars"
GB_7000.203-2013.pdf,lighting,16,ocr,,,"499KB, sampled 0 chars"
GB_7000.214-2015.pdf,lighting,21,ocr,,,"4107KB, sampled 0 chars"
GB_T 13786-2022.pdf,lighting,15,ocr,,,"3896KB, sampled 0 chars"
GB_T 1444-2008.pdf,lighting,14,text,,,"685KB, sampled 1239 chars"
GB_T 17263-2025.pdf,lighting,35,text,,,"610KB, sampled 947 chars"
GB_T 19119-2015.pdf,lighting,24,text,,,"519KB, sampled 1508 chars"
GB_T 21091-2007.pdf,lighting,8,text,,,"558KB, sampled 1678 chars"
GB_T 22148.3-2021.pdf,lighting,15,text,,,"4021KB, sampled 1858 chars"
GB_T 22505-2008.pdf,lighting,5,text,,,"605KB, sampled 1091 chars"
GB_T 23272-2009.pdf,lighting,13,text,,,"912KB, sampled 1198 chars"
GB_T 23595.1-2025.pdf,lighting,11,text,,,"268KB, sampled 1164 chars"
GB_T 23595.2-2025.pdf,lighting,11,text,,,"260KB, sampled 1053 chars"
GB_T 23595.3-2025.pdf,lighting,11,text,,,"415KB, sampled 1078 chars"
GB_T 23595.4-2025.pdf,lighting,11,text,,,"291KB, sampled 1102 chars"
GB_T 23595.5-2009.pdf,lighting,4,text,,,"433KB, sampled 1524 chars"
GB_T 23595.6-2009.pdf,lighting,4,text,,,"427KB, sampled 1406 chars"
GB_T 24461-2023.pdf,lighting,15,text,,,"380KB, sampled 1164 chars"
GB_T 26943-2011.pdf,lighting,16,text,,,"391KB, sampled 1232 chars"
GB_T 29294-2012.pdf,lighting,22,text,,,"483KB, sampled 2276 chars"
GB_T 32486-2016.pdf,lighting,17,text,,,"458KB, sampled 2111 chars"
GB_T 35269-2017.pdf,lighting,32,text,,,"2235KB, sampled 2799 chars"
GB_T 39928-2021.pdf,lighting,27,ocr,,,"6524KB, sampled 0 chars"
GB_T 5337-1985.pdf,lighting,20,ocr,,,"1455KB, sampled 0 chars"
GB_T 5697-1985.pdf,lighting,14,ocr,,,"844KB, sampled 0 chars"
GB_T 7256.1-2022.pdf,lighting,46,text,,,"5852KB, sampled 2247 chars"
GB_T 7256.4-2023.pdf,lighting,15,text,,,"693KB, sampled 1811 chars"
GB_T 7256.5-2023.pdf,lighting,12,text,,,"321KB, sampled 1760 chars"
GB_T 7771-2008.pdf,lighting,8,text,,,"614KB, sampled 552 chars"
GB_T 9364.11-2016.pdf,lighting,6,text,,,"309KB, sampled 1468 chars"
GB_T_10681-2009.pdf,lighting,53,ocr,,,"1479KB, sampled 0 chars"
GB_T_17006.4-2000.pdf,lighting,10,text,,,"595KB, sampled 1732 chars"
GB_T_19510.207-2023.pdf,lighting,52,ocr,,,"8990KB, sampled 0 chars"
GB_T_19510.211-2023.pdf,lighting,8,ocr,,,"1463KB, sampled 0 chars"
GB_T_20132-2019.pdf,lighting,32,ocr,,,"9106KB, sampled 0 chars"
GB_T_22907-2008.pdf,lighting,43,ocr,,,"24967KB, sampled 0 chars"
GB_T_23863-2024.pdf,lighting,47,text,,,"1828KB, sampled 3995 chars"
GB_T_24824-2009.pdf,lighting,20,ocr,,,"12808KB, sampled 0 chars"
GB_T_24906-2023.pdf,lighting,23,ocr,,,"5473KB, sampled 0 chars"
GB_T_24909-2010.pdf,lighting,10,ocr,,,"1932KB, sampled 0 chars"
GB_T_24969-2010.pdf,lighting,9,ocr,,,"1676KB, sampled 0 chars"
GB_T_24982-2020.pdf,lighting,14,text,,,"789KB, sampled 1662 chars"
GB_T_2900.65-2023.pdf,lighting,274,ocr,,,"72206KB, sampled 0 chars"
GB_T_29293-2012.pdf,lighting,11,ocr,,,"1290KB, sampled 20 chars"
GB_T_29296-2012.pdf,lighting,13,ocr,,,"1715KB, sampled 12 chars"
GB_T_30104.103-2017.pdf,lighting,228,ocr,,,"15340KB, sampled 0 chars"
GB_T_3027_2012_160184.pdf,lighting,17,ocr,,,"641KB, sampled 0 chars"
GB_T_31111-2014.pdf,lighting,6,ocr,,,"274KB, sampled 0 chars"
GB_T_31275-2020.pdf,lighting,56,text,,,"6888KB, sampled 2225 chars"
GB_T_31887.2-2019.pdf,lighting,15,ocr,,,"2070KB, sampled 0 chars"
GB_T_33721-2017.pdf,lighting,20,text,,,"10460KB, sampled 51 chars"
GB_T_33762-2017.pdf,lighting,24,ocr,,,"5102KB, sampled 0 chars"
GB_T_34428.3-2017.pdf,lighting,17,ocr,,,"3363KB, sampled 0 chars"
GB_T_34446-2017.pdf,lighting,12,ocr,,,"390KB, sampled 0 chars"
GB_T_34452-2017.pdf,lighting,8,ocr,,,"508KB, sampled 0 chars"
GB_T_34846-2017.pdf,lighting,24,ocr,,,"1024KB, sampled 0 chars"
GB_T_35846-2018.pdf,lighting,12,ocr,,,"571KB, sampled 0 chars"
GB_T_36005-2018.pdf,lighting,12,ocr,,,"442KB, sampled 0 chars"
GB_T_36949-2018.pdf,lighting,16,ocr,,,"866KB, sampled 0 chars"
